import time: self [us] | cumulative | imported package
import time:      1346 |       1346 |                     http.cookiejar
import time:       255 |        255 |                         mimetypes
import time:       596 |        596 |                         httpx._types
import time:       199 |        199 |                         httpx._utils
import time:       341 |       1390 |                       httpx._multipart
import time:       235 |       1625 |                     httpx._content
import time:        93 |         93 |                       brotli
import time:        74 |         74 |                       brotlicffi
import time:        71 |         71 |                       zstandard
import time:       254 |        490 |                     httpx._decoders
import time:       460 |        460 |                     httpx._status_codes
import time:       445 |        445 |                           idna.idnadata
import time:       170 |        170 |                           idna.intranges
import time:       459 |       1074 |                         idna.core
import time:       137 |        137 |                         idna.package_data
import time:       265 |       1474 |                       idna
import time:       751 |        751 |                       httpx._urlparse
import time:       280 |       2504 |                     httpx._urls
import time:       432 |       6855 |                   httpx._models
import time:       392 |      14828 |                 httpx._auth
import time:       232 |        232 |                 httpx._config
import time:       191 |        191 |                       httpx._transports.base
import time:       292 |        483 |                     httpx._transports.asgi
import time:       302 |        302 |                     httpx._transports.default
import time:       206 |        206 |                     httpx._transports.mock
import time:       181 |        181 |                     httpx._transports.wsgi
import time:       193 |       1364 |                   httpx._transports
import time:        20 |       1383 |                 httpx._transports.base
import time:       513 |      16954 |               httpx._client
import time:       158 |      17111 |             httpx._api
import time:       520 |        520 |                   gettext
import time:       922 |        922 |                           _ctypes
import time:       356 |        356 |                           ctypes._endian
import time:       615 |       1892 |                         ctypes
import time:       377 |        377 |                         ctypes.wintypes
import time:       882 |       3150 |                       click._winconsole
import time:       307 |       3457 |                     click._compat
import time:       153 |        153 |                       click.globals
import time:       288 |        288 |                       click.utils
import time:       321 |        761 |                     click.exceptions
import time:       502 |       4719 |                   click.types
import time:       240 |        240 |                   click._utils
import time:       283 |        283 |                     click.parser
import time:       205 |        487 |                   click.formatting
import time:       222 |        222 |                   click.termui
import time:       831 |       7016 |                 click.core
import time:       248 |        248 |                 click.decorators
import time:       608 |       7872 |               click
import time:       225 |        225 |                 pygments
import time:       887 |        887 |                 pygments.lexers._mapping
import time:       262 |        262 |                 pygments.modeline
import time:        51 |         51 |                       _csv
import time:       281 |        332 |                     csv
import time:       160 |        160 |                         importlib._abc
import time:        81 |        240 |                       importlib.util
import time:       195 |        195 |                         zipfile._path.glob
import time:       348 |        543 |                       zipfile._path
import time:       605 |       1387 |                     zipfile
import time:       129 |        129 |                         importlib.metadata._functools
import time:       164 |        293 |                       importlib.metadata._text
import time:       290 |        582 |                     importlib.metadata._adapters
import time:       307 |        307 |                     importlib.metadata._meta
import time:       258 |        258 |                     importlib.metadata._collections
import time:       158 |        158 |                     importlib.metadata._itertools
import time:       273 |        273 |                           importlib.resources.abc
import time:       234 |        234 |                           importlib.resources._adapters
import time:       365 |        871 |                         importlib.resources._common
import time:       179 |        179 |                         importlib.resources._legacy
import time:       167 |       1216 |                       importlib.resources
import time:       297 |       1512 |                     importlib.abc
import time:       746 |       5279 |                   importlib.metadata
import time:       142 |       5420 |                 pygments.plugin
import time:       470 |        470 |                 pygments.util
import time:       294 |       7557 |               pygments.lexers
import time:       235 |        235 |                   rich._extension
import time:       369 |        604 |                 rich
import time:        89 |         89 |                   termios
import time:       217 |        306 |                 getpass
import time:       708 |        708 |                   html.entities
import time:       292 |        999 |                 html
import time:       272 |        272 |                 rich._null_file
import time:       187 |        187 |                 rich.errors
import time:       629 |        629 |                         _compat_pickle
import time:        75 |         75 |                         _pickle
import time:       544 |       1248 |                       pickle
import time:       179 |        179 |                         colorsys
import time:       249 |        249 |                             rich.color_triplet
import time:       205 |        453 |                           rich.palette
import time:       144 |        597 |                         rich._palettes
import time:       264 |        264 |                         rich.repr
import time:       181 |        181 |                         rich.terminal_theme
import time:       683 |       1902 |                       rich.color
import time:       448 |       3596 |                     rich.style
import time:       393 |       3989 |                   rich.default_styles
import time:       865 |        865 |                     configparser
import time:       291 |       1156 |                   rich.theme
import time:       146 |       5290 |                 rich.themes
import time:      1438 |       1438 |                   rich._emoji_codes
import time:       277 |       1715 |                 rich._emoji_replace
import time:       159 |        159 |                 rich._export_format
import time:       126 |        126 |                 rich._fileno
import time:       166 |        166 |                     rich._loop
import time:       123 |        123 |                     rich._pick
import time:       180 |        180 |                           rich._unicode_data._versions
import time:       173 |        352 |                         rich._unicode_data
import time:       401 |        753 |                       rich.cells
import time:       167 |        919 |                     rich._wrap
import time:       675 |        675 |                           rich.segment
import time:       174 |        848 |                         rich.jupyter
import time:       145 |        145 |                           rich.protocol
import time:       296 |        440 |                         rich.measure
import time:       156 |       1443 |                       rich.constrain
import time:       253 |       1696 |                     rich.align
import time:       303 |        303 |                     rich.containers
import time:       293 |        293 |                     rich.control
import time:       225 |        225 |                     rich.emoji
import time:       646 |       4366 |                   rich.text
import time:       185 |       4550 |                 rich._log_render
import time:       269 |        269 |                 rich.highlighter
import time:       444 |        444 |                 rich.markup
import time:       176 |        176 |                 rich.pager
import time:        59 |         59 |                   array
import time:        99 |         99 |                   attr
import time:       148 |        148 |                   rich.abc
import time:      1135 |       1440 |                 rich.pretty
import time:       244 |        244 |                 rich.region
import time:       243 |        243 |                     rich.box
import time:       203 |        203 |                     rich.padding
import time:       237 |        682 |                   rich.panel
import time:       363 |        363 |                             numbers
import time:       736 |       1098 |                           _decimal
import time:       181 |       1279 |                         decimal
import time:       736 |       2015 |                       fractions
import time:       225 |       2240 |                     rich._ratio
import time:      1133 |       3373 |                   rich.table
import time:       178 |       4232 |                 rich.scope
import time:       216 |        216 |                 rich.screen
import time:       168 |        168 |                 rich.styled
import time:      1766 |      23154 |               rich.console
import time:       112 |        112 |                 mmap
import time:       180 |        180 |                 rich.filesize
import time:       385 |        385 |                     rich.ansi
import time:       164 |        549 |                   rich.file_proxy
import time:       187 |        187 |                   rich.live_render
import time:       230 |        965 |                 rich.live
